Villarrobledo	103
Castiglione	103
Barcino	103
Genazzano	103
Cochepaille	103
d'Arnaud	103
Cassiano	103
Rotenhof	103
Cavelier	103
Noirville	103
Grandguillot	103
Montravail	103
Barbançon	103
Beauvau	103
Cligny	103
Räsendorf	103
Hirschbach,	102
Helenenthal	102
Lunzenau	102
Eschenberg	102
Kirchbach	102
Vorderhuus-Stöckli	102
Döngessee	102
Biberkopf	102
Poffenburg	102
Rieselbach	102
Reichenbachtal	102
Godramshausen	102
Waltershof	102
Saint-Pierremont	102
Castellano	102
Costanzo	102
S. Bartolomeo	102
Vegio	102
Heidemoor,	102
Surgères	102
Boissière	102
Mieux	102
Steingraben	101
Zillbach	101
Gleishorbach	101
Kirchberg	101
Jüdenberg	101
Beerberg	101
Katterbach	101
Krauselkopf	101
Waidenburg	101
Haldenbrunner	101
Wildenberg	101
Braunthal	101
Havelsee	101
Langen-Nauenheim	101
Fornuovo	101
Batelière	101
Alstedt	101
Broussaillon	101
Mesnil-Rouge	101
Bailloud	101
Rouville	101
Mericourt	101
Stubenbach	100
Schönwinkel	100
Höllbachgraben	100
Sachsenstein	100
Hauenstein	100
Grafen-Eckarts-Turm	100
Fuchskopf	100
Monheim	100
Frankenhausen	100
Poschwitz	100
San-Angelo	100
Montebello	100
Duquerrel	100
Gimignano	100
Norddorf	100
Schmidt	100
Manière	100
échelon	100
Boulet-Ducarreau	100
Rougeville,	100
Valençay	100
Guiliano	100
Grenville	100
Arnouville	100
Carteaux	100
nachgraben	99
Erlenbrunn	99
Matthiesen-Michel	99
Oberstenfeld	99
Bickenbach	99
Stüzzerbach	99
Klakensee	99
Katzenstein	99
Egertal	99
Weidenbach	99
